Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
議會,yi4hui4,ㄧˋㄏㄨㄟˋ,parliament,parliament; legislative assembly
住址,zhu4zhi3,ㄓㄨˋㄓˇ,address,(home) address
解,jie3,ㄐㄧㄝˇ,untie,separate; divide; understand; solve (old) transport under guard
屁股,pi4gu5,ㄆㄧˋㄍㄨ˙,butt,butt; rear; rump
用處,yong4chu5,ㄩㄥˋㄔㄨ˙,usefulness,usefulness; use
搶救,qiang3jiu4,ㄑㄧㄤˇㄐㄧㄡˋ,rescue,rescue; to save; salvage
傳達,chuan2da2,ㄔㄨㄢˊㄉㄚˊ,convey,convey; transmit; communicate
充足,chong1zu2,ㄔㄨㄥˉㄗㄨˊ,adequate,adequate; sufficient; abundant
疏忽,shu1hu5,ㄕㄨˉㄏㄨ˙,negligence,neglect; overlook; negligence; carelessness
多數,duo1shu4,ㄉㄨㄛˉㄕㄨˋ,most,most; majority
熱烈,re4lie4,ㄖㄜˋㄌㄧㄝˋ,warm,warm; enthusiastic
條約,tiao2yue1,ㄊㄧㄠˊㄩㄝˉ,treaty,treaty; pact
個兒,ge4r5,ㄍㄜˋr˙,height,stature; size; height
老板娘,lao3ban3niang2,ㄌㄠˇㄅㄢˇㄋㄧㄤˊ,Boss,shopkeeper’s wife; female boss
位於,wei4yu2,ㄨㄟˋㄩˊ,lie in,be located at
瀑布,pu4bu4,ㄆㄨˋㄅㄨˋ,Fall,waterfall
消化,xiao1hua4,ㄒㄧㄠˉㄏㄨㄚˋ,Digestion,to digest
噴,pen1,ㄆㄣˉ,spray,to puff; to spout; gush; spray
大夫,dai4fu5,ㄉㄞˋㄈㄨ˙,doctor,doctor; physician
實現,shi2xian4,ㄕˊㄒㄧㄢˋ,accomplish,achieve; implement; realize
水分,shui3fen4,ㄕㄨㄟˇㄈㄣˋ,Water,moisture content; exaggeration
瞧,qiao2,ㄑㄧㄠˊ,Look at,look at; see
友好,you3hao3,ㄧㄡˇㄏㄠˇ,friendly,friendly (relations); close friends
定期,ding4qi1,ㄉㄧㄥˋㄑㄧˉ,regular,regularly; at regular intervals; set a date
壓迫,ya1po4,ㄧㄚˉㄆㄛˋ,oppression,to oppress; to repress; to constrict; oppression; {physics} stress
另外,ling4wai4,ㄌㄧㄥˋㄨㄞˋ,in addition,another; in addition; besides
日用品,ri4yong4pin3,ㄖˋㄩㄥˋㄆㄧㄣˇ,Daily necessities,daily necessities; articles of everyday use
菠菜,bo1cai4,ㄅㄛˉㄘㄞˋ,spinach,spinach
浪,lang4,ㄌㄤˋ,wave,wave; breaker; unrestrained
淋,lin2,ㄌㄧㄣˊ,Sprout,to pour; drench to filter; to strain
勞工,lao2gong1,ㄌㄠˊㄍㄨㄥˉ,labor,labor; worker
物理,wu4li3,ㄨˋㄌㄧˇ,physics,physics; innate laws of things; law of nature
推广,tui1guang3,ㄊㄨㄟˉㄍㄨㄤˇ,Promotion,popularize; spread; promote; generalization
許願,xu3yuan4,ㄒㄩˇㄩㄢˋ,Wish,to make a vow (e.g. to a god); to make a wish (as in birthday etc.); to promise (a reward)
阻礙,zu3'ai4,ㄗㄨˇ'ㄞˋ,Obstacle,obstruct; hinder; impede
重傷,zhong4shang1,ㄓㄨㄥˋㄕㄤˉ,Serious injury,seriously hurt; serious injury
動手,dong4shou3,ㄉㄨㄥˋㄕㄡˇ,Handle,to get to work; to touch; to strike a blow
保障,bao3zhang4,ㄅㄠˇㄓㄤˋ,Assure,ensure; to guarantee; to safeguard; security; safeguard; guarantee
朝,chao2,ㄔㄠˊ,towards,to face; towards; dynasty morning; day
規定,gui1ding4,ㄍㄨㄟˉㄉㄧㄥˋ,Regulation,stipulate; provide; to fix; to set; rule; regulation
過渡,guo4du4,ㄍㄨㄛˋㄉㄨˋ,transition,cross a river by ferry; transition; interim
校車,xiao4che1,ㄒㄧㄠˋㄔㄜˉ,school bus,school bus
還不如,hai2bu4ru2,ㄏㄞˊㄅㄨˋㄖㄨˊ,Might as well,could as well ...; might as well ...
力气,li4qi5,ㄌㄧˋㄑㄧ˙,strength,physical strength; effort
衛生紙,wei4sheng1zhi3,ㄨㄟˋㄕㄥˉㄓˇ,toilet paper,toilet paper
對立,dui4li4,ㄉㄨㄟˋㄌㄧˋ,opposition,oppose; to counter
舞廳,wu3ting1,ㄨˇㄊㄧㄥˉ,ballroom,dance hall; ballroom
滴,di1,ㄉㄧˉ,drop,to drip; drop; (mw for drops of liquid)
流利,liu2li4,ㄌㄧㄡˊㄌㄧˋ,fluent,fluent; smooth
冷飲,leng3yin3,ㄌㄥˇㄧㄣˇ,cold drink,cold drink
飄,piao1,ㄆㄧㄠˉ,With the wind,to float; flutter
爆炸,bao4zha4,ㄅㄠˋㄓㄚˋ,explode,explode; explosion; blow up
絕不,jue2bu4,ㄐㄩㄝˊㄅㄨˋ,no way,absolutely not; not in the least
欠,qian4,ㄑㄧㄢˋ,owe,yawn; to lack; owe (Kangxi radical 76)
代理,dai4li3,ㄉㄞˋㄌㄧˇ,acting,surrogate; acting as an agent/proxy; act on behalf of sb. in a responsible position (for a certain time)
本土,ben3tu3,ㄅㄣˇㄊㄨˇ,Homeland,local; native
錄用,lu4yong4,ㄌㄨˋㄩㄥˋ,Hire,hire as an employee; employ
晚輩,wan3bei4,ㄨㄢˇㄅㄟˋ,younger generation,the younger generation
籃子,lan2zi5,ㄌㄢˊㄗ˙,basket,basket
公開,gong1kai1,ㄍㄨㄥˉㄎㄞˉ,public,public; make public
過度,guo4du4,ㄍㄨㄛˋㄉㄨˋ,over,excessive; exceeding; lavishly
立場,li4chang3,ㄌㄧˋㄔㄤˇ,position,position; stand; stance
口號,kou3hao4,ㄎㄡˇㄏㄠˋ,slogan,slogan; catchphrase
神經,shen2jing1,ㄕㄣˊㄐㄧㄥˉ,nerve,nerve
擋,dang3,ㄉㄤˇ,block,to block; hinder; gear; equipment arrange; put in order
夜晚,ye4wan3,ㄧㄝˋㄨㄢˇ,night,night
以及,yi3ji2,ㄧˇㄐㄧˊ,as well as,as well as; too; (formal) and
預計,yu4ji4,ㄩˋㄐㄧˋ,Predict,forecast; predict; estimate
巧妙,qiao3miao4,ㄑㄧㄠˇㄇㄧㄠˋ,clever,ingenious; clever
野,ye3,ㄧㄝˇ,wild,field; plain; open space; boundary; rude; wild
海軍,hai3jun1,ㄏㄞˇㄐㄩㄣˉ,navy,navy
花費,hua1fei4,ㄏㄨㄚˉㄈㄟˋ,spend,expense; cost; spend (time or money)
逃走,tao2zou3,ㄊㄠˊㄗㄡˇ,escape,escape; to flee
現場,xian4chang3,ㄒㄧㄢˋㄔㄤˇ,on site,scene (of event or incident); site; live
開課,kai1 ke4,ㄎㄞˉ ㄎㄜˋ,Start class,start of school; give a course; teach a class
宣傳,xuan1chuan2,ㄒㄩㄢˉㄔㄨㄢˊ,publicity,propagate; give publicity to; propaganda
溜,liu1,ㄌㄧㄡˉ,slip,slip away; to skate; to glide  swift current of water; swift
要好,yao4hao3,ㄧㄠˋㄏㄠˇ,Be good,be on good terms; be close friends; be eager to improve oneself
時期,shi2qi1,ㄕˊㄑㄧˉ,period,period in time or history; period; time
民謠,min2yao2,ㄇㄧㄣˊㄧㄠˊ,ballad,folk music; ballad
儀式,yi2shi4,ㄧˊㄕˋ,ceremony,ceremony; rite; function
上游,shang4you2,ㄕㄤˋㄧㄡˊ,Upstream,upper reaches (of a river); advanced position
戒指,jie4zhi5,ㄐㄧㄝˋㄓ˙,ring,(finger) ring
順,shun4,ㄕㄨㄣˋ,Follow,smooth; to obey; to follow; to yield to; to arrange; take the opportunity to; convenient
改造,gai3zao4,ㄍㄞˇㄗㄠˋ,Transform,to change; alter; to transform
是非,shi4fei1,ㄕˋㄈㄟˉ,Right and wrong,right and wrong; truth and fiction; quarrel
傳說,chuan2shuo1,ㄔㄨㄢˊㄕㄨㄛˉ,legend,it is said; legend; pass on (a story); word of mouth
江,jiang1,ㄐㄧㄤˉ,Jiang,large river; Yangtze (abbrev.); a surname
補助,bu3zhu4,ㄅㄨˇㄓㄨˋ,Subsidy,subsidy; allowance
排球,pai2qiu2,ㄆㄞˊㄑㄧㄡˊ,volleyball,volleyball
分工,fen1 gong1,ㄈㄣˉ ㄍㄨㄥˉ,Division of labor,division of labor; divide up work
贊美,zan4mei3,ㄗㄢˋㄇㄟˇ,praise,admire; applause; to praise
效率,xiao4lv4,ㄒㄧㄠˋlvˋ,efficiency,efficiency
以便,yi3bian4,ㄧˇㄅㄧㄢˋ,so that,so that; in order to
處,chu3,ㄔㄨˇ,Place,get along with; be in; deal with; punish place; department
不顧,bu2gu4,ㄅㄨˊㄍㄨˋ,regardless of,in spite of; regardless of; to disregard
可喜,ke3xi3,ㄎㄜˇㄒㄧˇ,gratifying,delightful; makes one happy
凍,dong4,ㄉㄨㄥˋ,freeze,to freeze
顯著,xian3zhu4,ㄒㄧㄢˇㄓㄨˋ,Prominent,notable; marked; outstanding; remarkable
口水,kou3shui3,ㄎㄡˇㄕㄨㄟˇ,saliva,saliva
備,bei4,ㄅㄟˋ,Prepare,prepare; have ready; equipment; fully
冠軍,guan4jun1,ㄍㄨㄢˋㄐㄩㄣˉ,champion,champion
電視台,dian4shi4tai2,ㄉㄧㄢˋㄕˋㄊㄞˊ,Television station,TV station
人體,ren2ti3,ㄖㄣˊㄊㄧˇ,human body,human body
日后,ri4hou4,ㄖˋㄏㄡˋ,In the future,in days to come
名片,ming2pian4,ㄇㄧㄥˊㄆㄧㄢˋ,business card,business card
痛快,tong4kuai5,ㄊㄨㄥˋㄎㄨㄞ˙,happy,joyful; delighted; very happy; jolly
工錢,gong1qian2,ㄍㄨㄥˉㄑㄧㄢˊ,Work money,salary; wages
今后,jin1hou4,ㄐㄧㄣˉㄏㄡˋ,from now on,from now on; in the future
失掉,shi1diao4,ㄕˉㄉㄧㄠˋ,lose,lose; to miss
非法,fei1fa3,ㄈㄟˉㄈㄚˇ,illegal,illegal
貼心,tie1xin1,ㄊㄧㄝˉㄒㄧㄣˉ,intimate,considerate
神气,shen2qi4,ㄕㄣˊㄑㄧˋ,air,expression; manner; spirited; putting on airs; cocky
情書,qing2shu1,ㄑㄧㄥˊㄕㄨˉ,love letter,love letter
國立,guo2li4,ㄍㄨㄛˊㄌㄧˋ,National,national; state-run
俗話說,su2hua4 shuo1,ㄙㄨˊㄏㄨㄚˋ ㄕㄨㄛˉ,Say,as they say ...; as the proverb says ...
充分,chong1fen4,ㄔㄨㄥˉㄈㄣˋ,full,full; abundant; ample
容,rong2,ㄖㄨㄥˊ,Allow,to contain; allow; appearance; face
偷偷,tou1tou1,ㄊㄡˉㄊㄡˉ,secretly,stealthily; secretly
貸款,dai4kuan3,ㄉㄞˋㄎㄨㄢˇ,loan,(bank) a loan; to provide a loan
並,bing4,ㄅㄧㄥˋ,and,equal to; side by side; both; also
提早,ti2zao3,ㄊㄧˊㄗㄠˇ,Early,ahead of schedule; be earlier than expected
海關,hai3guan1,ㄏㄞˇㄍㄨㄢˉ,customs,customs (i.e. border inspection)
低潮,di1chao2,ㄉㄧˉㄔㄠˊ,low tide,low tide
硬,ying4,ㄧㄥˋ,hard,hard; stiff; obstinately
或多或少,huo4 duo1 huo4 shao3,ㄏㄨㄛˋ ㄉㄨㄛˉ ㄏㄨㄛˋ ㄕㄠˇ,more or less,more or less
規律,gui1lv4,ㄍㄨㄟˉlvˋ,law,rule (e.g. of science); regular pattern; discipline
決心,jue2xin1,ㄐㄩㄝˊㄒㄧㄣˉ,determination,determined; resolute
旅行社,lv3xing2she4,lvˇㄒㄧㄥˊㄕㄜˋ,Travel agency,travel agency
灰,hui1,ㄏㄨㄟˉ,Ash,ash; gray (grey); dust; lime
冒,mao4,ㄇㄠˋ,Take up,to emit; brave; bold; send out; to cover
濃,nong2,ㄋㄨㄥˊ,concentrated,thick (consistency of liquid); concentrated; dense; (of degree or extent) great
路燈,lu4deng1,ㄌㄨˋㄉㄥˉ,Street lamp,street lamp
田野,tian2ye3,ㄊㄧㄢˊㄧㄝˇ,field,field; open country
公平,gong1ping2,ㄍㄨㄥˉㄆㄧㄥˊ,fair,fair; impartial; just
故鄉,gu4xiang1,ㄍㄨˋㄒㄧㄤˉ,home,hometown; homeland; birthplace
美觀,mei3guan1,ㄇㄟˇㄍㄨㄢˉ,Beautiful,pleasing to the eye; beautiful; artistic
野心,ye3xin1,ㄧㄝˇㄒㄧㄣˉ,Ambition,ambition; wild schemes or ambitions; careerism
細胞,xi4bao1,ㄒㄧˋㄅㄠˉ,cell,cell (biology)
崇拜,chong2bai4,ㄔㄨㄥˊㄅㄞˋ,worship,worship; adore
慌,huang1,ㄏㄨㄤˉ,Panic,to be in a state of panic; to get panicky; to lose one's head; in a hurry;
消除,xiao1chu2,ㄒㄧㄠˉㄔㄨˊ,eliminate,eliminate; remove; clear up (abstract things）
錯過,cuo4guo4,ㄘㄨㄛˋㄍㄨㄛˋ,miss,to miss (train opportunity etc); let slip
肺,fei4,ㄈㄟˋ,lung,lung
新郎,xin1lang2,ㄒㄧㄣˉㄌㄤˊ,bridegroom,bridegroom; groom
估計,gu1ji4,ㄍㄨˉㄐㄧˋ,estimate,estimate think; assume suppose; seems like
花瓶,hua1ping2,ㄏㄨㄚˉㄆㄧㄥˊ,vase,(flower) vase; eye candy; trophy wife; things merely for show
充滿,chong1man3,ㄔㄨㄥˉㄇㄢˇ,full,filled with; brimming with; very full
葉子,ye4zi5,ㄧㄝˋㄗ˙,leaf,leaves
自私,zi4si1,ㄗˋㄙˉ,Selfish,selfish
法院,fa3yuan4,ㄈㄚˇㄩㄢˋ,Court,court of law
路線,lu4xian4,ㄌㄨˋㄒㄧㄢˋ,route,itinerary; route; line; political line
超越,chao1yue4,ㄔㄠˉㄩㄝˋ,Surpass,surpass; exceed; transcend
里頭,li3tou5,ㄌㄧˇㄊㄡ˙,Inside,interior; inside
不見得,bu2jian4de5,ㄅㄨˊㄐㄧㄢˋㄉㄜ˙,not necessarily,not necessarily; not likely
親戚,qin1qi5,ㄑㄧㄣˉㄑㄧ˙,relative,a relative (family relation)
大有,da4you3,ㄉㄚˋㄧㄡˇ,Great,plentiful; there is much
圖章,tu2zhang1,ㄊㄨˊㄓㄤˉ,stamp,seal; stamp; name chop
迷信,mi2xin4,ㄇㄧˊㄒㄧㄣˋ,superstitious,superstition; blind faith
頗,po1,ㄆㄛˉ,quite,rather; quite; inclined to one side
億,yi4,ㄧˋ,100 million,one hundred million
搖頭,yao2tou2,ㄧㄠˊㄊㄡˊ,Shake,shake one's head
稍,shao1,ㄕㄠˉ,a little,somewhat; a little; a bit; slightly; a trifle
記住,ji4zhu5,ㄐㄧˋㄓㄨ˙,remember,remember; memorize
直接,zhi2jie1,ㄓˊㄐㄧㄝˉ,direct,direct; immediate
舌頭,she2tou5,ㄕㄜˊㄊㄡ˙,Tongue,tongue
發展,fa1zhan3,ㄈㄚˉㄓㄢˇ,develop,develop; development; growth
磅,bang4,ㄅㄤˋ,lb,pound; weigh; scale
外出,wai4chu1,ㄨㄞˋㄔㄨˉ,Go out,to go out; to leave; to go away (on a trip etc.)
碰見,peng4 jian4,ㄆㄥˋ ㄐㄧㄢˋ,meet,run into; meet unexpectedly
珍珠,zhen1zhu1,ㄓㄣˉㄓㄨˉ,pearl,pearl
披,pi1,ㄆㄧˉ,Put on,drape over one's shoulders; split open; open
班長,ban1zhang3,ㄅㄢˉㄓㄤˇ,Squad leader,class monitor; team leader
急忙,ji2mang2,ㄐㄧˊㄇㄤˊ,hastily,in a hurry; in haste; hurriedly; hastily
折,zhe2,ㄓㄜˊ,fold,to break; to fracture; convert into; to fold to snap; lose money
碩士,shuo4shi4,ㄕㄨㄛˋㄕˋ,master,master's degree
指示,zhi3shi4,ㄓˇㄕˋ,instruct,indicate; instruct; instructions; directives
痕跡,hen2ji4,ㄏㄣˊㄐㄧˋ,trace,mark; trace; vestige
報仇,bao4chou2,ㄅㄠˋㄔㄡˊ,revenge,retaliate; take revenge; avenge
政府,zheng4fu3,ㄓㄥˋㄈㄨˇ,government,government
出席,chu1xi2,ㄔㄨˉㄒㄧˊ,Attend,attend; be present; participate
輕視,qing1shi4,ㄑㄧㄥˉㄕˋ,contempt,look down on; belittle; disdain
刷子,shua1zi5,ㄕㄨㄚˉㄗ˙,brush,brush
合乎,he2hu1,ㄏㄜˊㄏㄨˉ,Coincide,be in accordance with; conform to; tally with
神話,shen2hua4,ㄕㄣˊㄏㄨㄚˋ,myth,mythology; fairy tale
喉嚨,hou2long2,ㄏㄡˊㄌㄨㄥˊ,Throat,throat; larynx
社會,she4hui4,ㄕㄜˋㄏㄨㄟˋ,society,society; community
喜劇,xi3ju4,ㄒㄧˇㄐㄩˋ,comedy,comedy
主張,zhu3zhang1,ㄓㄨˇㄓㄤˉ,Claim,to advocate; viewpoint; position
姑丈,gu1zhang4,ㄍㄨˉㄓㄤˋ,Uncle,uncle; husband of father's sister
決絕,jue2jue2,ㄐㄩㄝˊㄐㄩㄝˊ,Decide,firm; resolute
冷靜,leng3jing4,ㄌㄥˇㄐㄧㄥˋ,calm,calm; cool-headed; sober
關上,guan1shang5,ㄍㄨㄢˉㄕㄤ˙,close,to close (a door) turn off (lights electrical
高原,gao1yuan2,ㄍㄠˉㄩㄢˊ,plateau,plateau; highland
區別,qu1bie2,ㄑㄩˉㄅㄧㄝˊ,the difference,difference; distinguish
鬧區,nao4qu1,ㄋㄠˋㄑㄩˉ,District,downtown
即將,ji2jiang1,ㄐㄧˊㄐㄧㄤˉ,Will,will shortly; soon; be on the verge of
好在,hao3zai4,ㄏㄠˇㄗㄞˋ,Be good at,fortunately; luckily (for good situations)
沙子,sha1zi5,ㄕㄚˉㄗ˙,sand,sand; grit
項目,xiang4mu4,ㄒㄧㄤˋㄇㄨˋ,project,item; project; (sports) event
金屬,jin1shu3,ㄐㄧㄣˉㄕㄨˇ,Metal,metal
公布,gong1bu4,ㄍㄨㄥˉㄅㄨˋ,Announce,to make public; to announce; to publicize to promulgate; to publish
佈,bu4,ㄅㄨˋ,cloth,to spread; to announce
應付,ying4fu5,ㄧㄥˋㄈㄨ˙,Handle,to cope with; to deal with; to handle; to do sth. after a fashion; to make do
內地,nei4di4,ㄋㄟˋㄉㄧˋ,Inland,inland; interior; hinterland
形狀,xing2zhuang4,ㄒㄧㄥˊㄓㄨㄤˋ,shape,form; figure; shape
休假,xiu1jia4,ㄒㄧㄡˉㄐㄧㄚˋ,take a vacation,go on holiday; be on leave; vacation
神仙,shen2xian1,ㄕㄣˊㄒㄧㄢˉ,immortal,fig. lighthearted person; Daoist immortal; supernatural entity; (in modern fiction) fairyelf  leprechaun etc.; supernatural being  celestial being immortal; a person who has the power of clairvoyance or who is free from worldly cares        
文憑,wen2ping2,ㄨㄣˊㄆㄧㄥˊ,diploma,diploma
筆試,bi3shi4,ㄅㄧˇㄕˋ,written examination,written exam
的確,di2que4,ㄉㄧˊㄑㄩㄝˋ,indeed,really; indeed
祖國,zu3guo2,ㄗㄨˇㄍㄨㄛˊ,motherland,homeland; motherland; fatherland
舍不得,she3bu5de5,ㄕㄜˇㄅㄨ˙ㄉㄜ˙,Be reluctant,loath to part; begrudge doing sth.
桶,tong3,ㄊㄨㄥˇ,bucket,pail; bucket; barrel
爭論,zheng1lun4,ㄓㄥˉㄌㄨㄣˋ,debate,argue; to dispute; contend; argument
中級,zhong1ji2,ㄓㄨㄥˉㄐㄧˊ,intermediate,intermediate (level)
經曆,jing1li4,ㄐㄧㄥˉㄌㄧˋ,experience,undergo; to experience; an experience
絲,si1,ㄙˉ,Silk,silk; thread; trace
縮,suo1,ㄙㄨㄛˉ,Shrink,withdraw; pull back; to shrink
回頭,hui2tou2,ㄏㄨㄟˊㄊㄡˊ,Turn around,turn one's head around; turn around; repent; (informal) later; by and by
節省,jie2sheng3,ㄐㄧㄝˊㄕㄥˇ,save,save; use sparingly; frugal
鈔票,chao1piao4,ㄔㄠˉㄆㄧㄠˋ,banknote,paper money; bill
卡通,ka3tong1,ㄎㄚˇㄊㄨㄥˉ,Cartoon,cartoon
自來水,zi4lai2shui3,ㄗˋㄌㄞˊㄕㄨㄟˇ,Self -water,tap/running water
再度,zai4du4,ㄗㄞˋㄉㄨˋ,once again,once again
跌,die1,ㄉㄧㄝˉ,fall,to fall down; to drop
疲倦,pi2juan4,ㄆㄧˊㄐㄩㄢˋ,tired,tired; weary
地毯,di4tan3,ㄉㄧˋㄊㄢˇ,carpet,carpet; rug
夏季,xia4ji4,ㄒㄧㄚˋㄐㄧˋ,summer,summer; summertime
大腿,da4tui3,ㄉㄚˋㄊㄨㄟˇ,thigh,thigh
華僑,hua2qiao2,ㄏㄨㄚˊㄑㄧㄠˊ,overseas Chinese,overseas Chinese
原始,yuan2shi3,ㄩㄢˊㄕˇ,original,first; original; primitive
無意,wu2yi4,ㄨˊㄧˋ,Unintentional,have no intention (of doing sth.); accidental; inadvertent
消,xiao1,ㄒㄧㄠˉ,remove,disappear; eliminate; use up (time)
居民,ju1min2,ㄐㄩˉㄇㄧㄣˊ,resident,resident; inhabitant
勉強,mian3qiang3,ㄇㄧㄢˇㄑㄧㄤˇ,reluctantly,reluctantly; with difficulty; force sb. to do sth.
面臨,mian4lin2,ㄇㄧㄢˋㄌㄧㄣˊ,Face,be faced with; be up against
影本,ying3ben3,ㄧㄥˇㄅㄣˇ,Film,copy (from a copier)
飲,yin3,ㄧㄣˇ,drink,beverage; to drink give water to animals beverage; to drink give water to animals
干嘛,gan4ma2,ㄍㄢˋㄇㄚˊ,what,what are you doing?; whatever for?; why on earth?
集,ji2,ㄐㄧˊ,set,gather; collect; volume; episode
有些,you3xie1,ㄧㄡˇㄒㄧㄝˉ,some,some; somewhat; rather
裹,guo3,ㄍㄨㄛˇ,wrap,wrap around; bind
無限,wu2xian4,ㄨˊㄒㄧㄢˋ,unlimited,infinite; limitless; unlimited; boundless; immeasurable
諷刺,feng3ci4,ㄈㄥˇㄘˋ,Satire,satirize; ridicule; mock; irony
勝利,sheng4li4,ㄕㄥˋㄌㄧˋ,victory,victory; triumph
孤單,gu1dan1,ㄍㄨˉㄉㄢˉ,alone,lonely; loneliness
廢水,fei4shui3,ㄈㄟˋㄕㄨㄟˇ,Wastewater,effluent; wastewater; drain water
說服,shuo1fu2,ㄕㄨㄛˉㄈㄨˊ,persuade,persuade; convince
牢騷,lao2sao1,ㄌㄠˊㄙㄠˉ,Complaint,complain; grumble; discontent
熱情,re4qing2,ㄖㄜˋㄑㄧㄥˊ,enthusiasm,cordial; passionate; enthusiastic; warmth; warm-hearted
取,qu3,ㄑㄩˇ,Pick,to take; get; choose
玩笑,wan2xiao4,ㄨㄢˊㄒㄧㄠˋ,joke,joke; jest
者,zhe3,ㄓㄜˇ,By,one who (does something); -er; -ist; (person)
實施,shi2shi1,ㄕˊㄕˉ,Implement,to implement; put into effect; carry out
放棄,fang4qi4,ㄈㄤˋㄑㄧˋ,give up,abandon; renounce; give up
探親,tan4qin1,ㄊㄢˋㄑㄧㄣˉ,Visiting relatives,go home to visit family; visit relatives
藥水,yao4shui3,ㄧㄠˋㄕㄨㄟˇ,Potion,liquid medicine
明明,ming2ming2,ㄇㄧㄥˊㄇㄧㄥˊ,Clearly,obviously; plainly; undoubtedly
有關,you3guan1,ㄧㄡˇㄍㄨㄢˉ,related,having to do with; concerning; related to
提前,ti2qian2,ㄊㄧˊㄑㄧㄢˊ,in advance,in advance; ahead of time; bring forward
摟,lou3,ㄌㄡˇ,hug,hug; embrace graft (money); solicit; gather; collect
半路,ban4lu4,ㄅㄢˋㄌㄨˋ,halfway,halfway; midway; on the way
匯款,hui4 kuan3,ㄏㄨㄟˋ ㄎㄨㄢˇ,money transfer,remit money; remittance
農產品,nong2chan3pin3,ㄋㄨㄥˊㄔㄢˇㄆㄧㄣˇ,Agricultural product,agricultural product; farm produce
一旦,yi2dan4,ㄧˊㄉㄢˋ,once,in case (something happens); once (sth. has happened ... then); in one day
少女,shao4nv3,ㄕㄠˋnvˇ,Girl,maiden; young girl
樂意,le4yi4,ㄌㄜˋㄧˋ,willing,be happy to do something; willing to; content; satisfied
農藥,nong2yao4,ㄋㄨㄥˊㄧㄠˋ,pesticide,agricultural chemical; pesticide
則,ze2,ㄗㄜˊ,but,rule; regulation; standard; criterion; then; in that case; (mw for written items)
回憶,hui2yi4,ㄏㄨㄟˊㄧˋ,Memories,to recall; recollect; memory
逃避,tao2bi4,ㄊㄠˊㄅㄧˋ,escape,to escape; evade; shirk
瓜,gua1,ㄍㄨㄚˉ,melon,melon (Kangxi radical 97)
毛巾,mao2jin1,ㄇㄠˊㄐㄧㄣˉ,towel,towel; washcloth
分散,fen1san4,ㄈㄣˉㄙㄢˋ,dispersion,to scatter; disperse; distribute
考卷,kao3juan4,ㄎㄠˇㄐㄩㄢˋ,Test papers,exam paper
紫,zi3,ㄗˇ,purple,purple
一帶,yi2dai4,ㄧˊㄉㄞˋ,Area,region; district; the area around a particular place; area; surroundings
節約,jie2yue1,ㄐㄧㄝˊㄩㄝˉ,saving,economize; frugal; to save; conserve
皇帝,huang2di4,ㄏㄨㄤˊㄉㄧˋ,emperor,emperor
起初,qi3chu1,ㄑㄧˇㄔㄨˉ,at first,at first; originally; in the beginning
社交,she4jiao1,ㄕㄜˋㄐㄧㄠˉ,social contact,social contact
統一,tong3yi1,ㄊㄨㄥˇㄧˉ,Unite,unify; unite; integrate; universal
固定,gu4ding4,ㄍㄨˋㄉㄧㄥˋ,fixed,fixed; regular; stable
騙,pian4,ㄆㄧㄢˋ,cheat,to cheat; to swindle; deceive
瞎,xia1,ㄒㄧㄚˉ,blind,blind
自我,zi4wo3,ㄗˋㄨㄛˇ,self,self; oneself; ego
珍惜,zhen1xi1,ㄓㄣˉㄒㄧˉ,cherish,to treasure; to value; cherish
咱們,zan2men5,ㄗㄢˊㄇㄣ˙,we,we; us; our
金融,jin1rong2,ㄐㄧㄣˉㄖㄨㄥˊ,finance,banking finance; financial
攀,pan1,ㄆㄢˉ,climb,climb up; to pull; to grab
睜,zheng1,ㄓㄥˉ,open eyes,to open (eyes)
供,gong1,ㄍㄨㄥˉ,for,supply; provide; furnish offering; confess
探討,tan4tao3,ㄊㄢˋㄊㄠˇ,Discuss,inquire into; investigate
笑容,xiao4rong2,ㄒㄧㄠˋㄖㄨㄥˊ,Laughed,smile; smiling expression
寢室,qin3shi4,ㄑㄧㄣˇㄕˋ,Bedroom,dormitory; bedroom
形象,xing2xiang4,ㄒㄧㄥˊㄒㄧㄤˋ,Image,image; imagery; vivid; visualization
混,hun4,ㄏㄨㄣˋ,mix,to mix; mingle; get along confused or muddy (for this sense only also written as 渾｜浑)
僅僅,jin3jin3,ㄐㄧㄣˇㄐㄧㄣˇ,only,only; barely; merely
彈,dan4,ㄉㄢˋ,bomb,pellet; bullet; bomb to pluck; to flick; to play (a stringed instrument); accuse
馬虎,ma3hu5,ㄇㄚˇㄏㄨ˙,careless,careless; sloppy; casual; negligent
鍛鍊,duan4lian4,ㄉㄨㄢˋㄌㄧㄢˋ,exercise,do physical exercise (simplified Chinese uses 炼)
成語,cheng2yu3,ㄔㄥˊㄩˇ,idiom,idiom; proverb
向來,xiang4lai2,ㄒㄧㄤˋㄌㄞˊ,always,always; all along
不然,bu4ran2,ㄅㄨˋㄖㄢˊ,otherwise,otherwise; if not; not so
阻止,zu3zhi3,ㄗㄨˇㄓˇ,Prevent,prevent; to block
幻想,huan4xiang3,ㄏㄨㄢˋㄒㄧㄤˇ,fantasy,delusion; fantasy; illusion
灰心,hui1 xin1,ㄏㄨㄟˉ ㄒㄧㄣˉ,discouraged,lose heart; be discouraged
公公,gong1gong5,ㄍㄨㄥˉㄍㄨㄥ˙,Father -in -law,husband's father; father-in-law; (dialect) grandpa
